Product_name,Unit Price,User,Ratings,Comment_head,Comments
"APPLE iPhone 13 (Midnight, 128 GB) ","₹69,900",Vijay Sai,4,Wonderful,"The migration from android to IOS is so painful. First the phone: A solid one, boxy and feels good in hand. Excellent display, camera is good, battery …amazing. For some reason I see that my mobile signal is weak, this was not the case with my android phone. Second the IOS: I didn’t find it amusing. From a customisation perspective it is probable 5 years behind android. There are certain simple things are missing, it’s a long list. But from a RAM and battery management, it is outstanding. F..."
"APPLE iPhone 13 (Midnight, 128 GB) ","₹69,900",Piyush Solanki,5,Great product,Awesome looking
"APPLE iPhone 13 (Midnight, 128 GB) ","₹69,900",Prakash Simar,5,Mind-blowing purchase,A top notch! I’ve upgraded to it from iPhone 11. iPhone 13 is by far the most flawlessly performing piece of quality hardware & software in a phone in 2022. Totally worth the money!
"APPLE iPhone 13 (Midnight, 128 GB) ","₹69,900",Dr Mohit Verma,5,Great product,"Amazing experience of this iPhone because iPhone 13 camera quality so creative and size is very good and handy, battery backup is so good now I am so happy to use this phone and I suggest to all for purchase this phone"
"APPLE iPhone 13 (Midnight, 128 GB) ","₹69,900",aneesh m c m c,4,Worth the money,"It’s my first iPhone and I am very much eager to get it on hand. First impression ya it’s great phone by look.Good weight balance,great optimised chip ,and good battery back up.and now the things I am not impress with the price point is it’s display,ya it’s display is good but not up to the mark for the price.and camera samples not even comparable with Samsung A SERIES…I am also using Samsung A 52."
"APPLE iPhone 13 (Midnight, 128 GB) ","₹69,900",Jithu Gopal,5,Just wow!,Got it in 2 days.so happy with the phone.starlight white is classy n suberb. That premium look is exquisite.Flawless ui... better battery backup.I am satisfied with the purchase.There is no phone like an iPhone :)
"APPLE iPhone 13 (Pink, 128 GB) ","₹69,900",Saitarun,5,Awesome,"Excellent after using 1 week and played Pubg, experienced a good battery and display with faster processor. Loved it"
"APPLE iPhone 13 (Midnight, 128 GB) ","₹69,900",Md Sarwat Hayat Ali,5,Brilliant,This is such a beast phone phone i ever had this is my first Apple phone but this... Is nice it's camera quality display performance is very nice I don't have a good experience of Apple phone's but ya when I use this I'll understand why they very expensive. :)
"APPLE iPhone 13 (Pink, 128 GB) ","₹69,900",Prabhat Kumar,4,Worth the money,"Holding a Apple product always looks premium, loved its performance till now. Battery quality could be better, notch on the top of the screen looks old now. Overall a good product but little overpriced."
"APPLE iPhone 13 (Midnight, 128 GB) ","₹69,900",Sanoop A K,5,Classy product,"First of all, this is a nice switch from Android in terms of software experience and optimizations.The kind of performance this iPhone offers is incredible. Even though this one is not having high screen refresh rates, it performs well compared to most of the android devices. Camera performance is fantastic, especially the cinematic mode is whole new experience.So far, under minimal calls, normal usage (like checking notifications atleast once in an hour), atleast 2 hours of streaming video..."
"APPLE iPhone 13 (Midnight, 128 GB) ","₹69,900",Tanay Purnaye,5,Classy product,"OMG, It’s terrific I purchased it to gift my wife on anniversary. Very good punches 6.1 inches is very handy and can be managed by one hand it’s camera captures very beautiful photos we are happy .battery backup is very fine one full charge remains for 1.5 days"
"APPLE iPhone 13 (Pink, 128 GB) ","₹69,900",Alexander Thomas ,5,Simply awesome,"I think its a very good product, and I feel is Android is good but an iPhone is just easy and after a certain stage in your life you want things to be easy and that’s exactly why I moved to iPhone the battery, display, OS and the camera is just something you would definitely love and enjoy."
"APPLE iPhone 13 (Midnight, 128 GB) ","₹69,900",Sanjeewan Baruah,5,Great product,I have been an android user all my life. Some things are more convenient in Android. Few things more convenient in ios.  I had a Nord 2 5G. Better performance ( Of Course). Camera is really good. And the battery life is simply superb . Battery than any android i have ever seen or used.
